,race_year_id,event,race,country,participation,distance,elevation_gain,elevation_loss,aid_stations,participants,country_code,year,month,day,frequency_in_ranking,equivalent_distance,weighted_elevation
1117,5605,INDIANA TRAIL 100,INDIANA TRAIL 100 MILE,United States,solo,161.0,4000.0,-4000.0,0,58,USA,2013,04,20,58,201.0,0.19900497512437812
1118,4510,Zion,100 Mile,United States,solo,161.0,2700.0,-2700.0,0,93,USA,2013,04,19,93,188.0,0.14361702127659576
1119,4417,Täby Extreme Challenge,TEC 100 Miles,Sweden,solo,160.9,2400.0,-2400.0,0,37,SWE,2013,04,13,37,184.9,0.12979989183342347
1120,4010,100 Miles Of Istria,100 Miles,Croatia,solo,166.0,6900.0,-7200.0,0,79,HRV,2013,04,12,79,235.0,0.2936170212765957
1121,5285,UMSTEAD 100,UMSTEAD 100,United States,solo,161.0,2450.0,-2450.0,0,162,USA,2013,04,06,162,185.5,0.1320754716981132
1122,4295,Badger Mountain Challenge,100 Mile,United States,solo,161.0,4300.0,-4300.0,0,43,USA,2013,03,29,43,204.0,0.2107843137254902
1123,5215,Antelope Island Buffalo Run,100 Mile,United States,solo,161.0,3600.0,-3600.0,0,54,USA,2013,03,23,54,197.0,0.18274111675126903
1124,4080,Centurion Thames Path 100,Centurion Thames Path 100,United Kingdom,solo,161.0,1600.0,-1600.0,0,90,GBR,2013,03,23,90,177.0,0.0903954802259887
1125,4075,Northburn Ultra Mountain Events,100 Mile,New Zealand,solo,161.0,8000.0,-8000.0,0,30,NZL,2013,03,23,30,241.0,0.33195020746887965
1126,3679,HARDCORE HUNDRED MILES,100 MILES,Philippines,solo,160.0,10000.0,-10000.0,0,12,PHL,2013,02,22,12,260.0,0.38461538461538464
1127,5639,IRON HORSE Endurance RunS,IRON HORSE 100M,United States,solo,161.0,2400.0,-2400.0,0,29,USA,2013,02,09,29,185.0,0.12972972972972974
1128,4420,Rocky Raccoon,100 Mile,United States,solo,161.0,1800.0,-1800.0,0,229,USA,2013,02,02,229,179.0,0.1005586592178771
1129,4290,HURT 100,HURT 100 MILE ENDURANCE RUN,United States,solo,161.0,7620.0,-7620.0,0,53,USA,2013,01,19,53,237.2,0.321247892074199
1130,3534,La Mision,160 Km,Argentina,solo,160.0,9000.0,-9000.0,0,261,ARG,2012,12,12,261,250.0,0.36
1131,3491,Centurion Autumn 100,Centurion Autumn 100,United Kingdom,solo,162.4,2130.0,-2140.0,0,32,GBR,2012,11,24,32,183.70000000000002,0.11594991834512793
1132,28463,Louceni,170 Km,Czech Republic,solo,170.0,7300.0,-7200.0,24,40,CZE,2012,11,23,40,243.0,0.3004115226337449
1133,3445,CHIMERA 100,CHIMERA 100 MILES,United States,solo,155.0,6520.0,-6520.0,0,76,USA,2012,11,17,76,220.2,0.29609445958219804
1134,3261,THE GREAT NORTH WALK 100S,100 MILES,Australia,solo,173.7,6500.0,-6500.0,0,50,AUS,2012,11,10,50,238.7,0.27230833682446587
1135,4782,OZARK 100 MILE ENDURANCE RUN,OZARK 100 MILE ENDURANCE RUN,United States,solo,161.0,4500.0,-4500.0,0,46,USA,2012,11,03,46,206.0,0.21844660194174756
1136,3444,PINHOTI 100,PINHOTI 100 MILES,United States,solo,161.9,4930.0,-5030.0,0,108,USA,2012,11,03,108,211.2,0.2334280303030303
1137,2692,Cactus Rose,100 Mile,United States,solo,161.0,4400.0,-4400.0,0,47,USA,2012,10,27,47,205.0,0.2146341463414634
1138,3226,Javelina Jundred,100 Miles,United States,solo,162.9,1960.0,-1960.0,0,160,USA,2012,10,27,160,182.5,0.10739726027397262
1139,3218,CAESAR'S CAMP,CAESAR'S CAMP 100 MILE ULTRARACE,United Kingdom,solo,161.0,4630.0,-4630.0,0,9,GBR,2012,10,20,9,207.3,0.22334780511336225
1140,3242,Ultima Frontera Trail,ULTIMA FRONTERA 166,Spain,solo,167.0,4820.0,-4820.0,0,23,ESP,2012,10,20,23,215.2,0.22397769516728627
1141,3247,Rodopi Ultra Trail,100 miles,Greece,solo,165.6,6965.0,-6965.0,0,34,GRC,2012,10,19,34,235.25,0.2960680127523911
