,race_year_id,event,race,city,country,date,start_time,participation,distance,elevation_gain,elevation_loss,aid_stations,participants
471,31671.0,Ouray 100 Mile Endurance Run,100 Mile,Ouray,United States,2018-08-03,08:00:00,solo,164.8,11420.0,-11420.0,15.0,120.0
472,27491.0,Burning River Endurance Run,100 Mile,Hudson,United States,2018-07-28,04:00:00,solo,164.4,2610.0,-2510.0,14.0,250.0
474,28479.0,The GAX 100 Miles,The GAX 100 Miles,Ystad,Sweden,2018-07-28,08:00:00,solo,160.8,1500.0,-1500.0,3.0,70.0
476,31407.0,Garmin Runfire Salt Lake Ultra Trail,100 Mile,ulukisla,Turkey,2018-07-27,18:00:00,solo,164.5,700.0,-700.0,15.0,0.0
477,25513.0,Montreux Trail Festival,MXtrem,Savigny,Switzerland,2018-07-27,06:00:00,solo,161.9,11530.0,-11520.0,15.0,300.0
478,30443.0,Vermont 100 Endurance Race,100M,WestWindsor,United States,2018-07-21,04:00:00,solo,158.0,5390.0,-5380.0,19.0,350.0
479,33133.0,YOU YANGS Hardcore 100Miler,100 MI,LittleRiver,Australia,2018-07-21,09:00:00,solo,164.2,3280.0,-3280.0,2.0,0.0
480,31295.0,Elephant Trail Race,160 Km (100 Mile),PortMacquarie,Australia,2018-07-20,22:00:00,solo,162.4,6930.0,-6930.0,13.0,35.0
481,35383.0,HARDROCK 100 ENDURANCE RUN,HARDROCK 100,,United States,2018-07-19,00:00:00,solo,161.8,10365.0,-10365.0,0.0,0.0
482,19487.0,Tahoe Rim Trail Endurance Run,100 Mile,Carsoncity,United States,2018-07-14,00:00:00,solo,160.4,6140.0,-6140.0,0.0,300.0
483,33633.0,Columbia China Ultra 168-Chongli,168km,Chongli,China,2018-07-13,16:00:00,solo,166.9,8130.0,-8130.0,14.0,350.0
484,26969.0,Silverheels Endurance Run,100 Mile,Fairplay,United States,2018-07-07,04:00:00,solo,168.3,4890.0,-4880.0,22.0,300.0
485,27341.0,Sinister 7 Ultra,Solo,Blairmore,Canada,2018-07-07,07:00:00,solo,159.9,5720.0,-5740.0,15.0,1600.0
487,28553.0,Pen Llyn Ultra 100,Pen Llyn Ultra 100,Pwllheli,United Kingdom,2018-06-23,05:00:00,solo,162.6,3210.0,-3170.0,7.0,100.0
488,30461.0,Western States Endurance Run,Western States Endurance Run,Auburn,United States,2018-06-23,00:00:00,solo,161.6,5370.0,-6890.0,21.0,369.0
489,27531.0,South Wales 100,South Wales 100,Cardiff,United Kingdom,2018-06-22,19:00:00,solo,167.1,5660.0,-5670.0,11.0,100.0
490,27977.0,Ultra Coahuila,100M,Arteaga,Mexico,2018-06-22,14:00:00,solo,159.2,6080.0,-6060.0,12.0,40.0
491,29115.0,ULTRA01 by XT,ULTRA01 by XT,OYONNAX,France,2018-06-22,18:00:00,solo,163.3,5010.0,-5010.0,5.0,200.0
493,28905.0,Ultra-Trail® Gaspesia 100,100 miles,Percé,Canada,2018-06-16,05:00:00,solo,159.1,4010.0,-4020.0,21.0,25.0
494,41965.0,Bighorn Trail Run,100M,Sheridan,United States,2018-06-15,11:00:00,solo,167.3,6740.0,-6800.0,7.0,360.0
